transid,custid,total,numitems,desc
335,3,194,5,jxaubsioblegjtcpj
344,1,50,1,kyunnyhapbflmujutj
345,4,165,2,fanuekgmwefrdbouw
346,9,117,9,ogvyjngnldpfa
364,7,24,4,ximtyuaomukorpboa
372,1,30,8,bqywtjsaaibvw
383,6,121,5,gkehnertwvrehnat
384,2,94,2,mbjrjqfwlpi
386,2,71,7,ppqqfqcngnbiyp
390,2,58,3,qimjguqovdhrnp
393,7,27,8,utmqmxqhkmxvlgdwst
394,8,74,9,udlwnfjatfjommjm
416,3,175,8,jvgfcuqcxpbhiutvqd
419,6,140,10,jojnmxguhkdujft
423,2,117,8,hbtsiepcwukotvrxgln
426,4,135,6,hwwpchkosxtau
430,1,23,4,xbrfxyndnyrdkgdgq
432,9,150,1,mtkbbhdxmhyfgrjvvg
436,4,67,9,ccqxdpmtvxrtism
454,3,27,3,mtgdsvxkfwqhx
455,3,65,8,risivyixgmnlyrqaew
464,4,44,4,tlrsqspcahgntq
471,4,12,4,tdhdgcsilxnwfbwjby
478,3,120,1,rmwopduybxdmphcym
483,5,125,5,ftshhnntqwguxe
485,10,169,1,qnoinggguiqhn
490,5,81,4,xpjysbshghmvbdidk
492,7,162,3,eemghkdlrkoyqnxiqlf
496,4,147,8,gbwvolpmglhq
497,3,43,1,tbevxdtnkrtv
508,4,185,3,uhupxmuloee
524,6,132,1,ljjavpbfxgky
531,1,37,3,raittwnecfm
532,3,148,1,ockkxqmlhgp
546,7,181,5,igobjtjgqf
549,9,25,3,iiacecjupjpglpx
562,3,21,9,gahlvrkggakwofsuya
570,1,154,1,fggcqriclp
574,7,33,8,twkixurolg
578,10,78,1,kyqiqodqxc
582,2,180,5,eauhximfpex
595,8,56,10,mevxqylilpotjd
596,3,120,8,kjbkljjtogjkttvnnrt
600,2,56,4,ifnpmtfvwopiknktdn
607,3,40,6,nklyawqdktt
609,6,57,2,lebryeghpqifxhgbws
613,7,58,5,cuoigkhotemb
617,4,43,9,siykkwnorokimnlqdmt
623,3,62,7,tbsvygbttadfjamv
632,2,60,10,twygeonnelqgsxl
635,6,64,10,ngjbpcbylso
638,1,141,7,vwjgngtwfkktbmnw
650,2,133,6,iycokyoskvnmtawnvf
655,2,175,5,gdyffvkcfrmbyb
656,9,185,1,ouftjwqvdhbv
658,6,92,8,unkjosjswh
659,7,14,6,vdlpjblgcbwligc
665,7,129,5,thrbhqlwmov
667,4,119,9,ertuencvefvbhc
678,6,80,9,dnujjxceumet
681,5,150,2,ryqlfomffttsxbmambt
683,7,184,3,yelaphcjmdvjirivd
690,3,94,1,yppxpcsilrrfubcln
699,6,107,6,qceltgarvvnvlbsm
709,10,135,9,xlsrpxtibypkx
710,9,152,3,aqcwbvarylrmkdkxjea
716,4,11,3,ahpmpcfvqlkdejx
717,7,94,6,fcrohrvpbqx
721,2,83,9,jlvmbwddcbpvkicx
735,9,196,10,rivapfnblcgfu
736,5,25,4,rgqqitefmhxmpk
738,2,78,4,dvvatogeun
741,1,94,10,psydcbpinq
748,4,149,10,dqrmeyjucuwnsx
751,5,85,1,vabfdqepkoq
757,6,49,1,koqobmptyhwimsorsgs
759,10,99,10,xckxvjgamknxdrjvmut
761,3,78,5,yawfxxelpmuntluyuno
771,6,56,10,aroddbewsxhaiww
776,8,121,9,vglkbrdnbbc
779,5,151,4,pjueylifavsrulp
786,7,108,9,ccbjsmuamfcgp
788,6,37,5,elpbrcgevhkhdm
791,2,49,1,vgncyyrkbdeif
792,5,167,5,adlovsjcbhkripekhjr
799,8,70,8,wcfpgwcvajdyv
801,10,43,7,cgtxlymeaymfpw
805,2,49,6,tkipaudbkwepkqn
819,7,198,4,wftlklwqrwsrhuuch
825,10,66,2,mttcsllxfjalgtxt
839,2,141,3,pwnoarynuslph
846,1,93,10,jripgjgfirmxnhsaia
851,7,122,5,dbvqjyrqpij
852,1,193,5,fqlpouonsyrg
855,6,196,3,akhayauyrfbpjumx
864,5,82,4,aodgdftxtqpaefb
872,5,198,5,djrfqhouejhng
873,8,94,7,rfxyaixcnalkoujwn
880,9,108,5,oivtyragbxjokhg
882,8,188,1,wiwyxhwcqncncujo
884,5,116,9,tygvfiddomsbeld
887,6,158,3,djgsjibvbkesdnuf
888,2,70,4,ravbciywomalc
890,9,109,3,fcsfmoknqphjappcefl
894,1,196,5,uespfebiqgq
917,2,149,2,lxnadsfbfc
926,10,188,2,yilxmdrwtlvxglag
928,5,45,1,fofiuminsnrgujwugd
937,10,18,5,ttcmiqgqowqv
938,10,109,7,tnxsosoapolhh
942,6,140,4,rmqsmcxvqljdjaathr
945,3,90,5,ukfcnvpdishgqhpsy
947,1,185,7,uufqgexeallufkpimu
950,5,117,6,tlocpufguv
951,4,39,7,lellghfpilkqxjvddyg
956,4,185,4,tcqlnpexrbokkdt
957,5,186,1,gelnsutcvsmyc
958,8,84,5,pghhhsxcokllh
974,1,68,10,mmcwnllxmwy
978,4,163,1,swumqpylelxtn
982,10,170,5,vgpiprcsjwcmyptyps
986,10,172,6,lonypmfrxrgj
990,1,27,10,xnetisnmmtpyvhh
997,7,141,5,ajwqqcwjua
1000,8,187,2,lwhixrqflwqvpsnfcik
