i,k,sum(v)
134,95,1212159
390,113,1201467
6,117,1279250
499,235,1085151
499,256,1091786
499,331,1133296
456,19,1211927
455,33,1219399
455,49,1190121
318,52,1254957
126,52,1235330
22,53,1197436
198,54,1123469
270,55,1288223
324,59,1175903
200,60,1152216
455,63,1226857
317,64,1238920
289,64,1283265
91,64,1302036
27,65,1211375
478,66,1250931
121,66,1290504
464,67,1316025
366,67,1209208
113,67,1187255
352,68,1294679
18,68,1262556
479,69,1241047
348,69,1220022
213,69,1222551
166,70,1300109
458,71,1215642
433,71,1161335
403,71,1222568
330,71,1196704
394,73,1190427
126,73,1206925
461,74,1266651
456,74,1231806
450,74,1239655
421,75,1263633
275,75,1308965
159,76,1186386
419,77,1262069
408,77,1233677
199,77,1244579
361,78,1244315
309,78,1268054
264,78,1175601
498,79,1324258
353,79,1223993
297,79,1278893
118,79,1247973
32,79,1290602
482,80,1241504
428,80,1234579
422,80,1310905
349,80,1253940
162,80,1253170
157,80,1265735
2,80,1304313
357,81,1225590
226,81,1255580
63,81,1259739
58,81,1293996
364,82,1134998
371,83,1228879
36,83,1197127
383,84,1194104
285,84,1217768
273,84,1228429
269,84,1251970
60,84,1236289
341,85,1344830
289,85,1244004
200,85,1271086
166,85,1237925
10,85,1262731
372,86,1171779
190,86,1209331
147,86,1195916
102,86,1183096
459,87,1164465
62,87,1174041
453,89,1267793
3,89,1337237
355,90,1230859
279,90,1174638
198,90,1180825
225,91,1228297
202,91,1194733
139,91,1197227
57,91,1256789
488,92,1281276
249,92,1261330
472,93,1194709
159,93,1168627
58,93,1220726
314,94,1201238
276,94,1214658
202,94,1213103
150,94,1219052
439,95,1196347
18,95,1204203
265,96,1140804
42,96,1149402
425,97,1295730
340,97,1343594
321,97,1204471
75,97,1291844
464,98,1251604
463,98,1176481
431,98,1185596
410,98,1165564
299,98,1190216
102,98,1147019
73,98,1165610
324,99,1119951
289,99,1215536
102,99,1228422
474,100,1253224
169,100,1177146
89,100,1139790
43,100,1136197
445,101,1270439
429,101,1249169
306,101,1263621
439,102,1203701
281,102,1201745
493,103,1214810
53,103,1211929
41,103,1216782
428,104,1257033
407,104,1212515
402,104,1206849
394,104,1175364
350,105,1274843
147,105,1178621
268,106,1318510
218,106,1303171
71,106,1248467
448,107,1180655
438,107,1312923
264,107,1164128
190,107,1223521
135,107,1168423
132,107,1187079
75,107,1182575
346,108,1241479
209,109,1228480
178,109,1292335
127,109,1321715
496,110,1194393
310,111,1240161
408,112,1222422
378,112,1225652
108,112,1212323
69,112,1211070
455,113,1205282
322,113,1306411
267,113,1227668
220,113,1239857
370,114,1281948
201,114,1218574
131,114,1225981
345,115,1223910
187,115,1196780
140,115,1213522
12,115,1228498
376,116,1219905
273,116,1252805
151,116,1243349
365,117,1297939
282,117,1228778
164,117,1253862
229,118,1197144
322,120,1337050
189,120,1329297
187,120,1235519
80,121,1256026
20,121,1203533
494,122,1308045
385,122,1253296
200,122,1207756
141,122,1172779
71,122,1206372
436,123,1250867
361,123,1275635
237,123,1293047
192,123,1229910
317,124,1149642
257,124,1189222
215,124,1186111
168,124,1221133
154,124,1171266
420,125,1360200
366,126,1207257
110,126,1157995
441,127,1187273
216,127,1182636
197,127,1252127
143,128,1243908
139,128,1273468
58,128,1255826
427,129,1154398
280,129,1218965
197,129,1209804
489,130,1211213
56,130,1309233
389,131,1233895
279,131,1123847
241,131,1195360
167,131,1194794
367,132,1164331
363,132,1237343
120,132,1069549
7,132,1224101
418,133,1228174
295,133,1266444
226,133,1221206
176,133,1264907
407,134,1278263
287,134,1258991
116,134,1287917
386,135,1130961
376,135,1178198
397,136,1221146
119,137,1265006
493,138,1179462
405,138,1192111
389,138,1215969
362,138,1134555
37,138,1219128
17,138,1195999
221,139,1211031
149,139,1202960
143,139,1253553
113,139,1191229
98,139,1195780
279,140,1108652
231,140,1195364
100,140,1298603
21,140,1198124
444,141,1287910
227,141,1209132
351,142,1217321
83,142,1213767
447,143,1128094
415,143,1069129
354,143,1166449
337,143,1164294
310,143,1133613
273,143,1115763
123,143,1053816
62,143,1078592
332,145,1225530
277,145,1209592
264,145,1207263
204,145,1248270
183,145,1215532
135,145,1162215
365,146,1293125
337,146,1321800
242,146,1325990
224,146,1260765
148,146,1248387
491,147,1251896
159,147,1257238
115,148,1255420
430,149,1236819
255,149,1136180
302,150,1241921
281,150,1178803
258,150,1198852
220,150,1196116
90,150,1154180
438,151,1271447
172,151,1266763
114,151,1213101
372,152,1256006
250,152,1256081
73,152,1247904
73,153,1188417
450,154,1246424
312,154,1236782
180,154,1267924
396,155,1244177
11,155,1263789
52,156,1214633
332,157,1234418
444,158,1237176
406,158,1255176
184,158,1226791
126,158,1219366
69,158,1207493
448,159,1164943
381,159,1169407
344,159,1171021
294,159,1142455
329,160,1193521
101,160,1203515
494,161,1335573
107,161,1208800
291,162,1209839
196,162,1258719
188,162,1273655
441,163,1189927
247,163,1207387
177,163,1197331
110,164,1215971
389,165,1259051
317,165,1245424
330,166,1244967
232,166,1263766
209,166,1211947
40,167,1314104
367,168,1192820
81,168,1185661
346,169,1167870
12,169,1269919
426,170,1171113
214,170,1178369
343,171,1258005
244,171,1215006
35,171,1190732
485,172,1155794
230,172,1194444
191,172,1154667
138,172,1260017
117,172,1118447
181,173,1202650
148,173,1217642
141,173,1200400
94,173,1248043
411,175,1235840
161,175,1273824
75,175,1243662
14,175,1204944
373,178,1200849
175,178,1259495
80,178,1267144
195,179,1250253
364,180,1078891
185,180,1109170
95,180,1219259
49,180,1161743
41,180,1180003
463,181,1224633
59,181,1197238
452,182,1230135
433,182,1185168
157,182,1242090
15,182,1156855
397,183,1198696
360,183,1177194
290,183,1244718
496,184,1179975
462,184,1141060
358,184,1199124
334,184,1202021
130,184,1142215
351,185,1304839
18,185,1308330
4,185,1205390
495,186,1278708
325,187,1116069
258,187,1123062
149,187,1159104
142,187,1183814
77,187,1117349
213,188,1259947
431,189,1283244
296,189,1255383
183,189,1256968
217,190,1261592
0,190,1245098
374,191,1222720
217,191,1231757
37,191,1229656
340,192,1274558
308,192,1206242
240,192,1251943
90,192,1181439
36,192,1217706
491,193,1229426
471,193,1201124
421,193,1211367
411,193,1189595
283,193,1224693
279,193,1188873
198,194,1222450
148,194,1208556
114,194,1222723
404,195,1174491
154,195,1210123
89,195,1184906
69,195,1199374
193,196,1177734
59,196,1230477
325,197,1150580
460,198,1346334
181,198,1303101
175,198,1351387
47,198,1295603
291,199,1204441
278,199,1199123
172,199,1275319
74,199,1248316
380,200,1273610
117,200,1166853
75,200,1262699
407,201,1190570
336,201,1165872
60,201,1227404
155,203,1217358
477,204,1241086
351,204,1267860
279,204,1161419
483,205,1251730
43,206,1177588
271,207,1185504
187,207,1164354
182,207,1130034
388,208,1291461
222,210,1226941
24,210,1232598
451,211,1134891
406,212,1212575
395,213,1187901
350,213,1300040
271,213,1233706
157,213,1243998
65,213,1199510
38,213,1221330
404,214,1174210
359,214,1178139
132,214,1188939
123,214,1146230
434,217,1266797
18,217,1203634
53,218,1233359
390,220,1114460
445,221,1209192
335,221,1210432
235,222,1139428
379,223,1212905
338,223,1191741
251,223,1307019
244,223,1227903
242,223,1228623
191,223,1190265
114,223,1225224
342,224,1240064
446,225,1244330
5,225,1181871
472,226,1198307
322,226,1266635
251,226,1217451
237,227,1173161
37,227,1144146
420,228,1222213
147,228,1233577
43,228,1231307
409,229,1221633
217,229,1293095
148,229,1254327
116,229,1309014
35,229,1223828
310,231,1227568
434,232,1187586
407,232,1187133
321,234,1134872
308,234,1199136
157,235,1211461
77,235,1168029
8,235,1150404
403,236,1327273
398,236,1264881
360,236,1220352
319,236,1313139
165,237,1117941
102,237,1130173
364,238,1210494
236,238,1255284
130,238,1243076
347,239,1248565
229,239,1236857
363,240,1239008
185,240,1182522
94,240,1250532
85,240,1251287
495,241,1236030
396,241,1209002
327,241,1203905
184,241,1232512
275,242,1225418
53,242,1217599
453,243,1188051
373,243,1182476
62,243,1175889
438,244,1241522
272,244,1219053
342,245,1213981
285,245,1171312
94,245,1239347
358,246,1236125
326,247,1250329
488,248,1220397
232,248,1267302
423,249,1212671
391,249,1211262
243,249,1230094
498,250,1284667
473,250,1255942
249,250,1269733
169,250,1206520
160,250,1181927
32,250,1294497
73,251,1274949
283,252,1234287
286,253,1259595
236,253,1194542
195,253,1296816
473,255,1197412
370,255,1248889
284,255,1222748
26,255,1234423
492,256,1186041
300,257,1275587
278,257,1213060
114,257,1252531
477,258,1207984
135,258,1202417
352,259,1123895
282,259,1142812
259,259,1143746
153,259,1180802
111,259,1125121
427,260,1198379
80,260,1251538
444,261,1233129
280,261,1236600
203,261,1210941
493,262,1182822
368,262,1269675
169,262,1196716
47,262,1224280
177,263,1171070
163,263,1129337
160,264,1164130
10,264,1244856
8,264,1216867
380,265,1227478
366,265,1244342
254,265,1307687
35,265,1250116
463,266,1307748
344,266,1304137
93,266,1298611
286,267,1248798
10,267,1173348
386,268,1150685
255,268,1146708
470,269,1239505
371,269,1280210
181,269,1248600
62,269,1259668
35,269,1259949
15,270,1178314
307,271,1238263
306,271,1213791
216,271,1187444
487,272,1262159
450,272,1233948
218,272,1275413
205,272,1314739
392,273,1220779
245,274,1285395
6,274,1330624
333,275,1186369
256,275,1226371
219,275,1204999
478,276,1144422
408,276,1163273
333,276,1150282
326,276,1156917
245,276,1195246
239,276,1220392
394,278,1169295
314,279,1183452
401,280,1186709
129,280,1267039
459,281,1241537
209,281,1257578
86,281,1284434
426,282,1116080
23,282,1167668
233,283,1250955
105,283,1181212
86,283,1171576
431,284,1258027
372,284,1207516
199,285,1247757
394,286,1214808
341,286,1287977
110,286,1166277
96,286,1182876
223,287,1248930
194,287,1244219
151,287,1213245
114,288,1154475
374,289,1138841
162,289,1160109
393,290,1189870
360,290,1163420
359,290,1196413
350,290,1312409
223,290,1230158
209,290,1214148
418,291,1134261
404,291,1149163
402,291,1119809
287,292,1258412
166,292,1266395
100,292,1353918
471,294,1185764
213,294,1206057
110,294,1164012
414,295,1214425
295,295,1305614
277,295,1245031
75,295,1257719
298,296,1203397
362,297,1161203
113,297,1135577
195,298,1202914
87,298,1165251
259,299,1169309
151,299,1164258
496,300,1223180
367,300,1204921
365,300,1216402
357,300,1217034
119,300,1231207
259,301,1262447
180,301,1316634
475,302,1164101
449,303,1227012
402,303,1209695
35,303,1197757
2,303,1261398
376,304,1178022
196,304,1232474
151,305,1230711
62,305,1187321
338,306,1213236
20,307,1202101
402,308,1287064
368,308,1303068
78,308,1240517
269,310,1235867
80,310,1230345
29,310,1174735
480,311,1155701
386,311,1123182
198,311,1167429
51,311,1203492
448,312,1165593
153,312,1173737
41,312,1183328
425,313,1222748
243,313,1248002
75,313,1229368
164,314,1235273
292,316,1268326
52,316,1244071
316,317,1163812
142,317,1217263
407,318,1286475
342,318,1288333
250,318,1227427
86,318,1251051
61,318,1240592
59,320,1198533
23,320,1192172
210,321,1230562
138,321,1265695
76,321,1273741
67,322,1144044
63,322,1196347
496,323,1254965
263,323,1273740
191,323,1225259
133,323,1195529
359,324,1186818
273,325,1219774
375,326,1319242
21,326,1235245
475,327,1211594
294,327,1244954
119,327,1290066
6,327,1313687
269,328,1241791
48,329,1215392
40,329,1254657
33,329,1177326
22,329,1236550
11,329,1194767
488,330,1234185
179,330,1213236
39,330,1264269
391,331,1239277
377,331,1214413
331,331,1189890
328,332,1269473
52,332,1250526
419,333,1256732
304,333,1271929
237,333,1245614
186,333,1182680
398,334,1192722
277,334,1161660
107,336,1191333
17,336,1224493
173,337,1213175
145,337,1204492
346,338,1214542
134,338,1198522
40,338,1292455
21,338,1221601
276,339,1246700
421,340,1247852
355,340,1228057
169,340,1185338
103,340,1251743
18,340,1239249
279,341,1136488
276,341,1260093
236,341,1192099
225,341,1194754
81,341,1204719
439,342,1250015
413,342,1235081
380,342,1276542
338,342,1236625
480,343,1189157
338,343,1221512
427,344,1157652
247,344,1184194
119,344,1228050
181,345,1144721
488,346,1178373
259,346,1195131
430,347,1189850
210,347,1232924
149,347,1151247
155,348,1224361
247,349,1097746
201,349,1139845
31,349,1189356
409,350,1233311
172,350,1294830
225,352,1203506
89,352,1184756
487,353,1210928
432,353,1218899
216,353,1155678
207,353,1209522
78,353,1177778
293,354,1260944
231,354,1268239
174,354,1296812
260,355,1204870
233,355,1266206
195,355,1234057
33,355,1162730
283,356,1176247
465,357,1122595
459,357,1193121
44,357,1197021
17,357,1178625
475,358,1183509
474,360,1353466
147,360,1226436
129,360,1306162
317,361,1186894
178,362,1275564
122,362,1224758
464,363,1279786
463,363,1202715
408,363,1180305
367,363,1186640
126,364,1219854
486,365,1271870
256,365,1228410
236,365,1176841
27,365,1185105
226,367,1223287
123,367,1153110
3,367,1315164
464,368,1317722
389,368,1184177
205,368,1220387
76,368,1221400
339,369,1141351
312,369,1155395
489,371,1200590
435,371,1151982
410,371,1189880
358,371,1223426
135,371,1174401
250,372,1093726
127,372,1197610
432,373,1263524
333,373,1191420
197,373,1257958
180,373,1287971
217,374,1225354
144,374,1214439
116,374,1255866
450,375,1323269
433,375,1249264
329,375,1244952
15,375,1263355
477,376,1223890
441,376,1246892
386,376,1197350
382,376,1291220
168,376,1270757
117,376,1162330
71,376,1269876
441,377,1212799
421,377,1245452
31,377,1229739
169,378,1170479
147,378,1205816
435,379,1190629
159,379,1186069
88,379,1139920
484,380,1249195
357,380,1270460
333,380,1210361
253,380,1216731
234,380,1264422
489,381,1272381
194,381,1281335
359,382,1238443
199,382,1246410
369,383,1325308
138,383,1360476
473,385,1202478
253,385,1235149
157,385,1282171
193,386,1172703
484,387,1179400
339,387,1147043
429,388,1227740
385,388,1200927
454,389,1270275
428,389,1178024
488,390,1150700
380,390,1201540
177,390,1222819
379,391,1230604
273,391,1272108
145,391,1242127
468,392,1269831
454,392,1260151
448,392,1217594
179,392,1170086
134,392,1171649
74,392,1260945
277,393,1238285
217,393,1231706
57,393,1319427
31,393,1230356
6,393,1282101
245,394,1262018
136,394,1191283
446,395,1328148
306,395,1263283
420,396,1296027
321,396,1175475
124,396,1289282
200,397,1167801
160,397,1135205
42,397,1153677
395,398,1233240
258,398,1238681
226,398,1228002
10,398,1216969
333,399,1165587
57,399,1269748
278,401,1180566
130,401,1173213
115,401,1210952
37,401,1209204
389,402,1225450
454,403,1292882
379,403,1123734
205,403,1262068
185,403,1162837
153,403,1212469
475,404,1179931
424,405,1225637
399,405,1181544
135,405,1191419
38,405,1190555
28,405,1234487
4,405,1173988
264,406,1224720
100,406,1338391
484,407,1272671
444,407,1275427
335,407,1261086
310,407,1274942
288,407,1230633
237,407,1305104
396,408,1145637
333,408,1168913
84,408,1187379
6,408,1235080
132,409,1205431
120,410,1127231
184,411,1166308
474,412,1279593
436,412,1234789
325,413,1190549
213,413,1169632
357,414,1263501
352,414,1254382
302,414,1270455
52,415,1310116
44,415,1301714
340,416,1264110
294,416,1217734
251,416,1224160
62,416,1178844
316,417,1232581
247,417,1213059
204,417,1194913
134,417,1167001
329,418,1169337
188,418,1219721
291,419,1152724
165,419,1186548
8,419,1117180
498,420,1318486
483,421,1322623
460,421,1337046
470,423,1202136
240,423,1266202
113,423,1171304
487,424,1292273
422,424,1330072
270,424,1281373
87,424,1223100
298,425,1227665
99,425,1318149
47,425,1217340
138,427,1224507
385,428,1319275
470,429,1174140
331,429,1206188
256,429,1246498
361,430,1333691
394,431,1258812
87,431,1280539
59,431,1296338
367,432,1225483
307,432,1288491
98,432,1223871
320,433,1262432
150,433,1192323
96,434,1194797
42,434,1213328
22,435,1283154
483,436,1298227
313,436,1199254
271,436,1298401
343,437,1221709
429,438,1253249
290,438,1272488
133,439,1178994
143,440,1237845
474,441,1303833
329,441,1186919
195,442,1324857
40,442,1359293
487,443,1212459
477,443,1171291
473,443,1164090
327,443,1173698
287,443,1162049
74,443,1201078
342,444,1199345
192,444,1166303
144,444,1168322
29,444,1219437
22,445,1243449
365,446,1289076
38,446,1255001
337,447,1243431
295,447,1235256
143,447,1213907
320,448,1230466
284,448,1207414
19,448,1195259
463,449,1234693
379,449,1201132
484,450,1174928
495,451,1283781
401,451,1227799
325,451,1229207
221,451,1257112
145,451,1211288
448,452,1241776
290,452,1317234
320,453,1304982
450,454,1251042
345,454,1220145
273,454,1227400
32,454,1278231
216,455,1189042
137,455,1207219
263,456,1245086
134,456,1151536
197,457,1272760
4,457,1167574
249,458,1255976
179,458,1261584
422,459,1412348
386,459,1272521
374,459,1289947
369,459,1323085
308,459,1275445
491,460,1187897
334,460,1189833
206,460,1127337
65,460,1200352
238,461,1223261
234,461,1270259
196,461,1280783
454,462,1292180
153,462,1222385
13,462,1241904
479,463,1249935
456,463,1195959
33,463,1223128
410,464,1250297
263,464,1223425
208,465,1165907
175,465,1248193
146,465,1243950
444,466,1248781
365,466,1230312
383,467,1242961
346,467,1189698
98,468,1179609
281,469,1171600
434,470,1140043
310,470,1118632
218,470,1163630
112,470,1124124
209,471,1208579
2,472,1205089
465,473,1094847
331,473,1112634
188,473,1151577
338,474,1159500
133,474,1162612
313,475,1226387
136,475,1179727
18,475,1248384
7,475,1244721
152,476,1222593
78,476,1289272
358,477,1290303
346,477,1275082
310,477,1259464
225,478,1181599
191,478,1138367
188,478,1219095
71,478,1167634
271,479,1286115
361,480,1275489
219,480,1190818
328,481,1147627
121,481,1212213
417,483,1248343
308,483,1204656
92,483,1266209
72,484,1188991
308,485,1244020
127,485,1292679
122,485,1263711
101,485,1211401
191,486,1236517
127,486,1308554
145,488,1165722
35,488,1171422
361,489,1230049
279,489,1152699
398,490,1260493
239,490,1326186
28,490,1282891
359,491,1223901
444,492,1295268
114,492,1281017
75,492,1317029
443,493,1166544
268,493,1220323
198,494,1149578
498,495,1275730
123,495,1152435
80,495,1240977
491,496,1254325
437,496,1195249
391,497,1274105
354,497,1326773
166,497,1281635
71,497,1324625
271,498,1266448
248,498,1220403
171,498,1236748
348,499,1237560
477,0,1225052
428,0,1257825
185,1,1196329
118,1,1203011
108,1,1255312
105,1,1258820
69,1,1185896
62,1,1210558
423,2,1218881
280,2,1225227
192,2,1209676
10,2,1219721
487,3,1181334
290,3,1226395
41,3,1155349
340,5,1293697
104,5,1250253
336,6,1267391
315,6,1243817
48,6,1234947
23,6,1185573
273,7,1260032
59,7,1262039
352,8,1205868
251,8,1234941
150,8,1165435
33,8,1175380
477,9,1235002
205,9,1272551
135,9,1218554
86,10,1208901
414,11,1169443
205,11,1247173
456,12,1241454
202,12,1278345
57,12,1348310
140,13,1229461
424,14,1232995
280,14,1226978
484,15,1219430
165,15,1196924
3,15,1295759
379,16,1139743
181,16,1170966
113,16,1158151
152,17,1196442
448,18,1199120
401,18,1225607
184,18,1263738
167,18,1179265
30,18,1229737
284,19,1242613
230,19,1223509
103,19,1235305
284,20,1151738
443,21,1273253
389,21,1291466
92,21,1294394
219,22,1186512
428,23,1246109
366,23,1252123
245,23,1278371
422,24,1326038
374,24,1246680
283,24,1299533
275,24,1291807
274,24,1346721
381,25,1234549
366,26,1165639
113,27,1069421
75,27,1173062
62,27,1149964
32,27,1212882
385,28,1221014
333,28,1198757
278,28,1162792
185,28,1142719
93,28,1215072
241,29,1219925
93,29,1279863
241,30,1271968
3,30,1345630
375,31,1271393
229,31,1185952
474,32,1320773
313,32,1173501
183,32,1231832
94,32,1240398
462,33,1195379
278,33,1205395
22,33,1207153
17,33,1213672
284,34,1262492
443,35,1211711
320,35,1269422
196,35,1237342
496,36,1259349
282,36,1225208
188,36,1286476
129,36,1278390
113,36,1189744
262,37,1361278
108,37,1326507
188,38,1229670
370,39,1249432
181,39,1188621
444,40,1298898
378,40,1286430
152,40,1272605
58,40,1382180
5,40,1296803
302,41,1198339
336,42,1222501
71,42,1207654
474,43,1268735
420,43,1208310
254,43,1244586
62,43,1147593
32,43,1240840
370,44,1344964
494,45,1297919
465,45,1201569
267,45,1264847
263,45,1267151
103,45,1228721
47,45,1228631
215,46,1228850
151,46,1255752
59,46,1218376
457,47,1164637
132,47,1187041
89,47,1131455
31,47,1170816
135,48,1145472
108,48,1201751
5,49,1165515
51,50,1261806
419,51,1263341
307,51,1262210
188,51,1264978
203,52,1235299
148,53,1169638
44,54,1187441
368,55,1266352
120,55,1150371
20,55,1229521
489,56,1220035
428,56,1222266
272,56,1221581
396,57,1259506
321,57,1185630
96,57,1243285
29,57,1257019
195,58,1301042
444,59,1257454
125,59,1191572
122,59,1260730
447,60,1211669
336,62,1240242
187,62,1173766
354,63,1287469
480,64,1186685
242,64,1260285
138,64,1269660
378,65,1214551
144,66,1242213
170,67,1224956
134,143,1115858
70,356,1246237
499,407,1146590
327,41,1175064
327,43,1184197
199,50,1290970
158,53,1242428
278,55,1224680
182,55,1234691
142,58,1315862
454,65,1308843
345,65,1262208
127,66,1251140
119,67,1291780
470,68,1256375
394,68,1244857
237,68,1316228
436,69,1219365
43,69,1214876
45,70,1359711
464,71,1275432
360,71,1145022
317,71,1165758
301,71,1228226
156,71,1217352
367,72,1214530
212,72,1217756
106,72,1259911
29,72,1162582
86,73,1268234
436,74,1269429
425,74,1279758
139,74,1292091
129,74,1270027
125,74,1257891
68,74,1227270
26,75,1260299
99,76,1250953
439,77,1212316
387,77,1205530
361,77,1280257
117,78,1124001
387,79,1222311
93,80,1259762
363,81,1284959
318,81,1291317
254,81,1274913
3,81,1321276
278,82,1178399
436,83,1171228
408,83,1185648
363,83,1248889
306,83,1202742
400,84,1250218
44,84,1256163
491,85,1296494
342,85,1240182
169,85,1250181
71,85,1246937
23,85,1217063
301,86,1199890
43,87,1165044
24,87,1209357
405,88,1251227
238,88,1195552
157,88,1281236
485,89,1213521
408,89,1263859
340,89,1324192
249,89,1252175
14,89,1231369
224,91,1167934
55,91,1182082
263,92,1277256
240,92,1300043
67,92,1224047
72,94,1184564
325,95,1164426
470,96,1145475
433,96,1173802
299,96,1193188
439,97,1224376
355,97,1275905
297,97,1304305
280,97,1290999
16,97,1202530
354,98,1205958
344,98,1139493
214,98,1088246
115,98,1158333
419,99,1277339
175,99,1298127
97,99,1161830
27,99,1236080
9,99,1172344
346,100,1160802
476,101,1304749
135,101,1251914
26,101,1288243
495,102,1245145
330,103,1211778
309,103,1222304
131,103,1199771
423,104,1195605
312,104,1169184
127,104,1246559
98,104,1173624
62,104,1127000
60,104,1193256
392,105,1134721
361,105,1219936
313,105,1094367
107,105,1126301
8,105,1077945
208,106,1224284
165,106,1180426
434,107,1214855
251,107,1251510
249,107,1179169
164,108,1290125
107,108,1235847
98,108,1228619
3,108,1351914
323,109,1266130
258,109,1253359
229,109,1245266
292,110,1255289
14,110,1207940
433,111,1198689
216,111,1210401
411,112,1177407
32,112,1245766
451,113,1125293
263,113,1223292
33,114,1216448
392,115,1181740
349,115,1228172
301,115,1211604
193,115,1131041
88,115,1149310
3,115,1277806
306,116,1224694
284,116,1223409
144,117,1221316
76,117,1317781
56,117,1301295
14,117,1237714
497,118,1200161
400,120,1320532
387,120,1222644
366,120,1254965
329,120,1207958
320,120,1297464
299,120,1270895
257,120,1240387
238,120,1254724
165,120,1198057
221,121,1224324
185,121,1177066
467,124,1149267
292,124,1193189
50,124,1207339
37,124,1199280
483,125,1316652
382,125,1293197
147,125,1295060
23,125,1266605
416,126,1174492
160,126,1136148
464,127,1299217
438,127,1288434
335,127,1260436
138,127,1286597
182,128,1166413
83,128,1190344
338,129,1200562
403,130,1295977
359,130,1193526
72,131,1182220
465,132,1141594
355,132,1163198
175,132,1243149
67,132,1170222
343,133,1281940
33,133,1231030
312,134,1223952
281,134,1240453
174,135,1170810
386,136,1163032
242,137,1245242
46,137,1242644
364,138,1117872
347,138,1177016
435,139,1217078
429,139,1250409
403,139,1292387
345,139,1269047
26,139,1229207
481,140,1184278
395,140,1209306
224,140,1167904
170,140,1192450
462,141,1214076
150,141,1229558
128,141,1216456
107,142,1176666
36,142,1233330
254,143,1181143
100,143,1195598
68,143,1116408
440,144,1358639
313,144,1243190
25,145,1271633
189,146,1340719
139,146,1315349
498,147,1271868
17,147,1257672
423,148,1198571
171,148,1229522
356,149,1267599
224,149,1194498
346,150,1182490
479,151,1218379
189,151,1314089
71,151,1206567
43,151,1178511
209,152,1271446
30,152,1302329
485,153,1205904
383,153,1184800
204,153,1240768
107,153,1225766
392,154,1223465
364,154,1144549
276,154,1249811
205,154,1291442
49,154,1217737
436,155,1237520
243,155,1315632
270,156,1216047
177,156,1207716
108,156,1207571
384,157,1264137
215,157,1169883
159,157,1192847
192,159,1133461
146,159,1186164
111,159,1180724
386,160,1149853
377,160,1172349
48,160,1188229
384,161,1254119
264,161,1213951
124,161,1289874
253,162,1209208
230,162,1291572
0,162,1190977
154,163,1215793
468,164,1288288
467,164,1230612
296,164,1207036
370,165,1280742
495,166,1303098
467,166,1233277
418,166,1228408
266,166,1304246
83,166,1238875
347,167,1211127
237,167,1264263
223,167,1281134
488,168,1174547
180,168,1241005
158,168,1267050
137,168,1206689
317,169,1149822
207,170,1293143
487,171,1226539
443,171,1204123
45,171,1249049
410,172,1201752
337,172,1233253
247,172,1179612
68,172,1196410
345,173,1240775
459,174,1218012
138,174,1316060
