transid,custid,total,numitems,desc
253,6,314,7,wbiqnvfmdvmijhw
254,10,419,8,rwkyxsbgxtadkr
255,10,220,4,vloucagmokjwf
256,4,478,8,wvuotflnqgohpr
258,8,148,10,yolcyntdbbafs
259,3,297,1,ecpchobtiubdm
260,7,96,8,jfqrrcbdbsvecvggc
261,6,31,4,gnexjyserwanmy
262,1,260,4,dhwwcvuhkew
264,6,38,2,lmqluleicxeadxj
265,8,598,1,yfchxoikdww
267,6,418,9,weqyilikujgphh
270,9,113,2,vdxkmbdmaulbque
271,8,441,7,hhkmukdaqnuyghgpcgy
274,3,374,8,kdfcdhcfnspqocyjbb
275,4,279,9,pnemcspwwp
276,6,402,4,tqritdqfrecbckas
278,2,251,1,ijoefkbyncpbkk
280,4,126,3,xogcmywxeg
281,8,102,3,qbhjonycic
282,3,380,4,dnjqykycura
283,6,92,2,pssfmjvubhl
284,6,349,3,jghqulavptwwjtvkuw
285,10,45,5,albgiraevmnyqjpkp
286,9,68,6,kpomtplrand
287,7,368,5,vjmmntipwhtnhnqofy
288,10,488,3,qtklrrqpwvgme
290,7,45,1,xahmlseigu
291,9,224,3,kgkflognmnlysly
292,8,511,1,vwrjmrclrybfrbnblow
293,9,586,1,jgxyosipluaosqc
294,1,567,1,kcplgqbgoeabpxqglkn
296,3,321,8,xpqschqtfgud
299,10,10,5,opmxeupehexblvlon
300,1,239,3,dltgertqvfnsh
301,6,32,5,jghmhgmgnnfed
302,4,130,3,jpgwvdmhhwinrtiw
304,2,305,9,ljddnyywdcukstkhc
305,2,104,5,dodbnnvgujwigrxadlq
306,3,364,1,ovjkjusadpymwac
308,4,446,3,rogdxgpqisgcg
309,8,23,5,miongoqxnew
310,6,36,10,smugpukdctoqse
311,10,175,7,evtlvfvckbx
312,8,90,1,wrqabmvcdllms
313,3,119,1,vrimohwxqenaa
315,2,236,10,hqpnyfxqtgqsobopn
316,7,502,1,bxhewvrfyblqaus
317,8,555,3,slopoxkxhgpsq
318,7,216,4,nysyupsjkkbalew
319,1,136,10,lfkvcjxpctqysriqgw
320,4,241,5,eoxhgvrwsejjywhvi
323,1,236,10,vfhwwxjniwxedjqj
324,3,311,5,ttncerjheeukyt
326,10,71,9,lftcdmuingjgtec
329,7,68,7,qyohsblxjdifq
331,4,422,9,qybququubrqlmoiuyqf
332,9,108,5,ecrlrlrnbjkvtkgxwg
333,7,351,5,xyyupryongp
335,3,194,5,jxaubsioblegjtcpj
341,10,216,10,hcavhovkmfqdvurijrc
344,1,50,1,kyunnyhapbflmujutj
345,4,165,2,fanuekgmwefrdbouw
346,9,117,9,ogvyjngnldpfa
347,1,452,9,diuijeeucqyakeue
352,9,514,5,quijwfolqknvnfab
355,3,569,3,fywtrmaoiktoap
356,5,258,6,qbsgjmhbxegaguryxau
358,6,549,2,yehiupcbgcljnyhp
362,10,466,2,rpcblnnutxsjr
364,7,24,4,ximtyuaomukorpboa
365,1,386,5,nxmoewbuufcnw
367,6,454,1,lfppfjmpbrqbvn
370,10,358,4,oapxllyeepbi
371,10,449,10,vtawbeyayukqx
372,1,30,8,bqywtjsaaibvw
375,7,375,9,srnjlfpebkl
376,3,467,8,dgdrmcvyrlfmmlyhkml
379,4,380,5,lxmcifrolkcwsxktowi
380,8,489,8,sfhbvilfjyshuly
383,6,121,5,gkehnertwvrehnat
384,2,94,2,mbjrjqfwlpi
385,6,570,9,pruukftadc
386,2,71,7,ppqqfqcngnbiyp
387,9,316,7,uixuvgvlakekbd
388,2,548,1,rwkgdequhmue
390,2,58,3,qimjguqovdhrnp
391,6,246,1,baygfsudnqeqit
393,7,27,8,utmqmxqhkmxvlgdwst
394,8,74,9,udlwnfjatfjommjm
395,8,307,6,eanagjwynfbqnbttj
401,2,443,4,nykwuwrakb
403,7,287,4,mqnabcpplnljvgr
404,7,478,3,wumtbhqjuywrbjddggg
408,6,246,1,vqvlyarmdtfcflc
409,8,203,7,ymopyokbkuprutko
411,1,511,2,mtagqyvrmfy
412,5,568,8,rdhoibjthrbdq
413,6,431,4,cgtholovcyqudqa
414,10,465,9,pvrnwvaikl
415,3,417,7,dpktcsjoxvpiuasau
416,3,175,8,jvgfcuqcxpbhiutvqd
419,6,140,10,jojnmxguhkdujft
422,9,414,7,vgolddlsoaqmq
423,2,117,8,hbtsiepcwukotvrxgln
424,9,302,7,sapojjwsoj
425,9,499,3,qfpkaekfxvlcm
426,4,135,6,hwwpchkosxtau
430,1,23,4,xbrfxyndnyrdkgdgq
432,9,150,1,mtkbbhdxmhyfgrjvvg
436,4,67,9,ccqxdpmtvxrtism
438,7,378,3,drlwuorswpcltey
442,7,385,6,goexwdkgyfdemm
443,2,553,2,raevwjwfhd
445,7,219,3,lgifwwytad
448,9,467,1,aryruhiqndppwfvkm
449,6,525,1,kekaesoebna
450,9,313,8,vnbkamgaensnudux
451,1,524,2,vbqbhxbsooajammfjr
452,10,435,10,vxsgridovxobeywq
454,3,27,3,mtgdsvxkfwqhx
455,3,65,8,risivyixgmnlyrqaew
457,5,333,4,ckqcsacfiaa
458,8,490,2,ocqfunkcioogiix
459,10,551,7,dqdaqqctprlpl
461,3,498,1,lnjvunccmexahcvmjvw
462,9,207,10,yncqqdttedyekkfe
463,8,511,2,ipukinmycmrbsyfwq
464,4,44,4,tlrsqspcahgntq
466,1,561,2,dogdrnijbcrjlohkuen
467,3,407,10,ibrpnqxfhcbqdcfs
468,8,581,7,mjlrwogdjhjt
470,3,582,10,imkwncrgrpk
471,4,12,4,tdhdgcsilxnwfbwjby
473,4,476,6,vhwcrlaofvdvo
474,1,323,10,hpusauhahv
475,10,464,3,yrlwyvupnp
476,6,391,6,grxuyogqgxdsqdsbvt
478,3,120,1,rmwopduybxdmphcym
480,9,424,1,suapgyufbcljugi
481,7,321,9,dxsstyuvwmddqoys
483,5,125,5,ftshhnntqwguxe
485,10,169,1,qnoinggguiqhn
488,10,439,2,kxaewukadetdohypxht
489,3,540,10,kadigqspcyjspfthki
490,5,81,4,xpjysbshghmvbdidk
492,7,162,3,eemghkdlrkoyqnxiqlf
494,9,300,2,mndenjnivsgwvhcv
495,2,286,2,asjcfknibc
496,4,147,8,gbwvolpmglhq
497,3,43,1,tbevxdtnkrtv
498,6,420,9,steaykvkwkubsvae
499,9,506,10,sdlfhseauui
501,9,302,2,diaisnbtdyypix
506,9,273,7,xjafojvfcxht
507,7,577,6,mkojiqivdfjvfgpnh
508,4,185,3,uhupxmuloee
509,4,330,8,eiremsytwayevyfugn
510,6,393,9,lgoiheatlwwdlyayi
511,4,506,9,vdrlqoiktjlgqiyfpc
512,5,463,4,xxqkxswlmkgfyxpgrxl
515,4,228,7,rwttlrqfylenycntqug
516,2,227,10,fsyedjuygysxenavl
517,10,545,8,mpfvyovonki
518,9,496,6,jtkfegpckrqxkndujfi
519,6,498,7,wmhgtceabyedrhnl
520,4,458,5,xjxtgchimbuqaci
521,1,299,2,ptpogevacsoosryhwwb
522,4,317,1,hlpcflhgortccstobtw
523,5,330,9,ocyfupaukeuwjbgebm
524,6,132,1,ljjavpbfxgky
526,10,517,3,jskxeyoujel
529,2,526,9,urhneqatclrdpl
531,1,37,3,raittwnecfm
532,3,148,1,ockkxqmlhgp
535,1,293,1,tylouoylri
539,6,383,2,tvcpeiptkt
540,1,341,9,fthwtglwshayan
541,2,246,10,gtgyxxyeuyuw
544,8,407,10,tmcivdtuhvyvnaxn
545,10,418,9,stkqoamppjldr
546,7,181,5,igobjtjgqf
548,8,520,1,biqbfaeery
549,9,25,3,iiacecjupjpglpx
550,5,372,9,kfntdybxbtqbh
556,5,413,4,jpymbwlpwklmbyey
557,5,458,3,ripwegjlkbnqhtflnb
559,9,214,7,yuyvcvnsvj
560,1,380,10,irloamsiibhwvvqlay
562,3,21,9,gahlvrkggakwofsuya
563,8,286,7,augionuxbybiwhxa
564,5,406,1,dyxqpifkkkscirnnccj
565,9,300,9,jwlakwvydqe
566,6,397,5,yjfelfxniiuynexrv
570,1,154,1,fggcqriclp
571,8,369,4,rgnkgmokyvhdfbccy
572,3,227,9,lgqhpisllyjfikii
574,7,33,8,twkixurolg
575,6,335,2,vdihoklubwpvfwr
578,10,78,1,kyqiqodqxc
580,7,412,7,nvkgghitkmvxc
581,8,227,6,amiwbdvbvqthnqofog
582,2,180,5,eauhximfpex
585,9,502,2,ciyndcpeghgbhluwci
586,10,271,1,tspeamswkhxu
595,8,56,10,mevxqylilpotjd
596,3,120,8,kjbkljjtogjkttvnnrt
598,8,252,3,piemtqehdow
600,2,56,4,ifnpmtfvwopiknktdn
602,3,454,3,pwhqtrwceyvtfvs
603,6,347,4,yltfctqitow
604,9,279,10,yjxjdbywhldcah
606,3,444,4,nrerkoyvphybpbiuko
607,3,40,6,nklyawqdktt
608,1,547,8,gwhauoauahbqsgurah
609,6,57,2,lebryeghpqifxhgbws
611,4,467,6,dondeafbwdytsg
612,6,407,2,ortdsesqrmidesykq
613,7,58,5,cuoigkhotemb
616,9,227,4,ptnltjlxnjmdujpiy
617,4,43,9,siykkwnorokimnlqdmt
620,7,356,9,rmiimlbuca
622,2,377,1,qwgvigxblk
623,3,62,7,tbsvygbttadfjamv
626,9,433,2,kfrputueqsg
628,1,378,3,vkyffuymeqnyfww
629,5,290,2,kvnejhcteuwbnsi
632,2,60,10,twygeonnelqgsxl
633,1,542,7,xpxebbqgatuj
634,9,566,3,mlushqghcon
635,6,64,10,ngjbpcbylso
637,4,590,7,ubncvvqltgrrep
638,1,141,7,vwjgngtwfkktbmnw
641,4,411,4,quurelorddusop
643,1,554,8,vtsiyocpheswsv
645,7,518,6,versqfsasedayig
646,8,536,3,xecthbbyfj
650,2,133,6,iycokyoskvnmtawnvf
652,4,410,5,bbiuqudnmcwbqbjxb
653,8,308,7,pbchsvvmapntpvffad
654,3,339,6,yccmlbbefuotsrcxk
655,2,175,5,gdyffvkcfrmbyb
656,9,185,1,ouftjwqvdhbv
658,6,92,8,unkjosjswh
659,7,14,6,vdlpjblgcbwligc
661,1,420,6,mwajjbqenhyqnnskw
662,4,257,3,mnxcsqvxerjv
664,4,410,9,qrxvjgqekq
665,7,129,5,thrbhqlwmov
666,7,589,3,puvxxyienrwxiri
667,4,119,9,ertuencvefvbhc
668,4,242,3,udqmgjveelfbmhdi
669,6,369,4,wgtknbvnshogty
671,10,319,9,ctfhlubfhtghejdy
672,7,213,2,wikaarctcfviabobdyc
674,4,349,4,uvfjpxdtvebjw
678,6,80,9,dnujjxceumet
679,3,582,10,lwmekedgyliipky
680,1,320,4,kwssywpnryws
681,5,150,2,ryqlfomffttsxbmambt
682,3,489,6,jdcvbscttlbaev
683,7,184,3,yelaphcjmdvjirivd
686,4,593,8,manbyusdaineb
687,2,451,7,xubxcaabqiegadye
688,4,312,3,ycftdtmftrkwkr
690,3,94,1,yppxpcsilrrfubcln
692,9,395,5,mkjkrsjhhe
694,6,548,2,uqqwcfvnkbjew
695,3,265,4,cksrxusrds
696,2,435,10,uprgbpkuopuadw
698,6,220,6,jjnqxifcyghgoechqtg
699,6,107,6,qceltgarvvnvlbsm
704,3,230,4,kbaiuxxkeuotix
705,4,316,8,nibnyuoryvyualqu
707,5,442,3,jyajfwdkjqajjrbbvxq
709,10,135,9,xlsrpxtibypkx
710,9,152,3,aqcwbvarylrmkdkxjea
713,10,452,1,qbhwnekkmcxl
715,6,539,4,fhsscceignyvp
716,4,11,3,ahpmpcfvqlkdejx
717,7,94,6,fcrohrvpbqx
718,2,536,3,rkeqdmwptrxhipuse
719,6,301,10,kilormjhkfgjeftxc
720,2,597,6,kctqbiheeq
721,2,83,9,jlvmbwddcbpvkicx
725,10,363,9,xacynoxqhpt
726,1,522,9,cavaipjqha
729,9,383,10,sgqvjudxptdkgigwhs
730,1,469,10,lvbvqadvkbbigj
733,4,350,8,xsamynmruoplkmsdxfr
734,8,424,7,dfrejncmttoy
735,9,196,10,rivapfnblcgfu
736,5,25,4,rgqqitefmhxmpk
738,2,78,4,dvvatogeun
740,2,314,5,rbjfabrwadmhuojow
741,1,94,10,psydcbpinq
744,1,419,6,xdrawqagcvf
746,9,490,7,krhyqunrpyqlrfcgqpc
747,9,324,1,rwlugvxihigptusqeg
748,4,149,10,dqrmeyjucuwnsx
749,5,294,9,asxglihsrhsxjwp
750,9,390,9,mdxqrsrmepbyoxhqua
751,5,85,1,vabfdqepkoq
752,10,562,3,djqecgyttum
755,1,214,3,gkfnwivxtgb
756,7,348,2,grubfgsajbs
757,6,49,1,koqobmptyhwimsorsgs
759,10,99,10,xckxvjgamknxdrjvmut
761,3,78,5,yawfxxelpmuntluyuno
762,4,459,9,ijiasfgqdusrfasokfr
764,4,380,1,quomlddfap
765,2,303,5,lijxufvoixfurueh
767,3,564,4,ccesbcqvkyplelos
769,5,595,5,oedmdgwvqxulcnr
770,1,252,5,ahtssdiukcbod
771,6,56,10,aroddbewsxhaiww
772,8,473,2,mwgylyhoqfksehy
775,5,508,4,rkhjelopswaujhgve
776,8,121,9,vglkbrdnbbc
779,5,151,4,pjueylifavsrulp
780,4,582,7,qbdeyynwpiahbtp
781,1,219,6,kxgitabylnbd
782,5,531,1,jeeqbnekvydtdgfv
785,8,220,2,sfigdafiemnk
786,7,108,9,ccbjsmuamfcgp
787,7,358,9,ovvjphachgrq
788,6,37,5,elpbrcgevhkhdm
790,1,435,7,urfjcanhmfmpqvmfjbc
791,2,49,1,vgncyyrkbdeif
792,5,167,5,adlovsjcbhkripekhjr
793,7,447,4,yrlcsxmxgskrj
797,4,354,9,gjxikwqrkd
799,8,70,8,wcfpgwcvajdyv
801,10,43,7,cgtxlymeaymfpw
805,2,49,6,tkipaudbkwepkqn
806,6,423,9,pycsieclliypoakudc
810,4,350,2,rnlgpuphri
818,4,371,6,hwfrdojppplisoxd
819,7,198,4,wftlklwqrwsrhuuch
820,10,338,6,msuygeekefogvtbc
822,8,343,6,dtbiyysrpdyttvhqdnr
823,2,521,4,xpvxelrukvstvlstnfd
825,10,66,2,mttcsllxfjalgtxt
828,4,262,4,wdsjfuxpxg
834,4,541,3,nhorvxnasqrpbweprom
836,8,571,6,brnwealaxtxkdglsu
837,6,374,8,hqsvbblifknrwllpr
838,2,518,2,xhhiqdqcptaipx
839,2,141,3,pwnoarynuslph
840,4,297,4,hmkobxguaddrcbxtbp
844,10,210,9,mbcujhnnqfxneth
846,1,93,10,jripgjgfirmxnhsaia
849,3,201,3,rmiqnoaooynxy
850,6,441,6,hoanjjeaevaqubedkbf
851,7,122,5,dbvqjyrqpij
852,1,193,5,fqlpouonsyrg
854,9,397,1,ihumxkxhsncylkmi
855,6,196,3,akhayauyrfbpjumx
861,3,584,3,djdxewrotqaol
862,3,376,9,ywobcmgqbojbvcdwx
863,7,590,8,wifgtpuhstmlbpa
864,5,82,4,aodgdftxtqpaefb
865,10,392,8,ldojoifhbtorxyudwls
869,7,492,5,pcjdmybcpxvgekne
870,5,502,8,knwmgmnbuybbnea
871,6,377,8,lwtmydqosfqcy
872,5,198,5,djrfqhouejhng
873,8,94,7,rfxyaixcnalkoujwn
875,6,378,1,raqrhyytldfsjayjiqd
876,9,417,6,lxxasqjgjxrilinht
880,9,108,5,oivtyragbxjokhg
882,8,188,1,wiwyxhwcqncncujo
883,4,496,8,ftcqmntutn
884,5,116,9,tygvfiddomsbeld
887,6,158,3,djgsjibvbkesdnuf
888,2,70,4,ravbciywomalc
890,9,109,3,fcsfmoknqphjappcefl
891,7,541,4,bihmaorhhxc
892,10,207,6,gjptdpwoebuhi
893,7,440,1,wnuolgqoxropteb
894,1,196,5,uespfebiqgq
898,7,265,3,atbrpsnreboxtvdys
902,6,369,2,oqerccgcpkoeqam
907,8,302,3,eekdirvtrnihd
909,7,475,9,kwpnjkqnbflkoh
910,9,449,10,cxddnfpccl
914,9,350,5,bxfsnpytywjtyncm
916,8,391,3,ikrcccbustgjymchpn
917,2,149,2,lxnadsfbfc
918,1,394,1,nqmkbnisjkg
919,10,514,9,qitdmblljlklbed
920,7,299,7,sekumkrjbhfjmwukcl
922,10,358,8,qfyvhngunjdwhjae
924,6,235,9,ptfccnbspusuhko
925,4,413,10,lcohgpecmyqmso
926,10,188,2,yilxmdrwtlvxglag
927,9,449,5,kmuvofwxaxnsfkd
928,5,45,1,fofiuminsnrgujwugd
929,8,412,2,ihjcenqmpvk
930,2,399,4,bucgyqvmhpgqqpebiq
931,2,217,1,nqsubdedptqdflfi
932,6,479,6,fbqrlaotsrutq
934,9,589,10,ppnbyglhppqjrjuvfdh
935,9,242,8,uotwtcjwfxoodytpogq
937,10,18,5,ttcmiqgqowqv
938,10,109,7,tnxsosoapolhh
939,7,264,5,ydbdemfhkuym
941,9,289,9,kyeapaikvaaubxucli
942,6,140,4,rmqsmcxvqljdjaathr
943,3,430,8,lihpgdqfxmnnbdvlpg
945,3,90,5,ukfcnvpdishgqhpsy
947,1,185,7,uufqgexeallufkpimu
948,1,222,2,xuqrayrxnebqavbyo
949,4,256,10,ihhlxkribwl
950,5,117,6,tlocpufguv
951,4,39,7,lellghfpilkqxjvddyg
953,10,399,4,dctcjcwsnhbdlxrfl
954,1,367,6,qncnksfidkjtlf
955,9,428,3,wxfopmvkask
956,4,185,4,tcqlnpexrbokkdt
957,5,186,1,gelnsutcvsmyc
958,8,84,5,pghhhsxcokllh
961,3,562,7,hfitumwovgighffeta
962,3,266,10,gfmvvocsmdfw
963,4,388,9,incaaelxicuasb
966,10,366,8,ftptsbmwxjqwcd
967,6,559,10,pnosqxqyrlhbhmbrjj
968,9,598,6,gxlvbjrahosmvqjv
969,5,253,7,vtmolwihokppu
970,2,249,5,lxxcpooecdqrycowx
971,4,534,8,ffpsbhdsiuuwvhvisl
973,3,536,2,hvlrtcjoivmc
974,1,68,10,mmcwnllxmwy
976,2,525,3,qmentlcxmnbpjxcaq
977,2,329,8,xdwqnumwrwrgt
978,4,163,1,swumqpylelxtn
979,7,416,4,lodahrumlypblwvho
980,8,271,4,tkulithvwgsgytnf
982,10,170,5,vgpiprcsjwcmyptyps
984,5,252,4,oiroqvvesj
986,10,172,6,lonypmfrxrgj
987,10,329,10,rxfuffsshgqipqrax
988,6,274,1,ndyduarrfktf
989,10,538,9,mwpffmrgxtxw
990,1,27,10,xnetisnmmtpyvhh
993,9,223,8,hnxrosjtqiecef
994,1,480,6,pshdqjtvjnksvpongfx
996,6,533,1,iuvqdygfjpop
997,7,141,5,ajwqqcwjua
999,1,521,4,fvyyistexutqv
1000,8,187,2,lwhixrqflwqvpsnfcik
